school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
GP;F;*;U;GT3;T;4;4;teacher;health;reputation;*;1;2;0;no;yes;no;no;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;0;10;8;9
GP;F;*;U;GT3;T;2;1;services;other;reputation;*;3;3;0;no;yes;yes;yes;yes;yes;yes;no;;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;3.0-5.0;4;10;12;12
GP;M;*;U;LE3;T;4;4;health;services;course;*;1;1;0;no;yes;yes;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;;2;14;14;14
GP;M;*;U;GT3;T;4;3;teacher;other;course;*;2;2;0;no;yes;no;no;yes;yes;yes;no;;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;2;10;10;11
GP;M;*;U;GT3;A;2;2;other;other;home;*;1;3;0;no;yes;yes;no;yes;yes;yes;yes;3.0-5.0;;1.0-3.0;1.0-3.0;1.0-3.0;3.0-5.0;0;14;16;16
GP;F;*;U;GT3;T;4;4;health;other;home;*;1;1;0;no;yes;yes;no;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;4;14;14;14
GP;F;*;U;GT3;T;4;4;services;services;reputation;*;1;3;0;no;yes;no;yes;yes;yes;yes;no;3.0-5.0;1.0-3.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;6;13;14;14
GP;F;*;U;GT3;T;3;3;other;other;reputation;*;3;2;0;yes;yes;no;yes;yes;yes;no;no;;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;3.0-5.0;4;8;10;10
GP;M;*;U;GT3;T;3;2;services;services;course;*;1;1;3;no;yes;no;yes;yes;yes;yes;no;;;;1.0-3.0;3.0-5.0;;16;6;5;5
GP;M;*;U;LE3;T;4;3;health;other;home;*;1;1;0;no;no;no;yes;yes;yes;yes;no;3.0-5.0;1.0-3.0;3.0-5.0;1.0-3.0;3.0-5.0;;4;8;10;10
GP;M;*;U;GT3;T;4;3;teacher;other;reputation;*;1;2;0;no;no;yes;no;yes;yes;yes;no;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;0;13;14;15
GP;M;*;U;GT3;T;4;4;health;health;other;*;1;1;0;no;yes;no;no;yes;yes;yes;no;;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;;0;12;15;15
GP;M;*;U;LE3;T;4;2;teacher;other;course;*;1;2;0;no;no;yes;yes;yes;yes;yes;no;3.0-5.0;;1.0-3.0;1.0-3.0;3.0-5.0;;2;15;15;16
GP;M;*;U;LE3;T;2;2;other;other;reputation;*;2;2;0;no;yes;yes;yes;yes;yes;yes;no;;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;;0;13;13;12
GP;F;*;R;GT3;T;2;4;services;health;course;*;1;3;0;yes;yes;no;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;;2;10;9;8
GP;F;*;U;GT3;T;2;2;services;services;home;*;1;1;2;no;yes;yes;no;no;yes;yes;no;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;3.0-5.0;;14;6;9;8
GP;M;*;U;GT3;T;2;2;other;other;home;*;1;1;0;no;yes;no;no;yes;yes;yes;no;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;;2;12;12;11
GP;M;*;U;GT3;T;4;2;health;services;other;*;1;1;0;no;no;no;no;yes;yes;yes;no;1.0-3.0;1.0-3.0;3.0-5.0;1.0-3.0;3.0-5.0;1.0-3.0;4;15;16;15
GP;M;*;U;LE3;A;3;4;services;other;home;*;1;2;0;yes;yes;no;yes;yes;yes;yes;no;;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;;4;11;11;11
GP;M;*;U;GT3;T;4;4;teacher;teacher;home;*;1;2;0;no;yes;no;yes;yes;yes;yes;yes;3.0-5.0;3.0-5.0;;;;;16;10;12;11
GP;M;*;U;GT3;T;4;4;health;services;home;*;1;2;0;no;yes;no;no;no;yes;yes;no;;3.0-5.0;1.0-3.0;3.0-5.0;3.0-5.0;;0;9;11;12
GP;M;*;U;GT3;T;4;4;services;services;reputation;*;2;2;0;no;yes;yes;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;;0;17;16;17
GP;M;*;R;GT3;T;4;3;teacher;at_home;course;*;1;2;0;no;yes;no;yes;yes;yes;yes;yes;3.0-5.0;;1.0-3.0;1.0-3.0;1.0-3.0;;0;17;16;16
GP;M;*;U;LE3;T;3;3;other;other;course;*;1;2;0;no;no;yes;yes;no;yes;yes;no;;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;0;8;10;12
GP;M;*;U;GT3;T;3;2;other;other;home;*;1;1;0;no;yes;yes;no;no;yes;yes;no;;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;;0;12;14;15
GP;F;*;U;GT3;T;2;3;other;other;other;*;2;1;0;no;yes;no;yes;yes;yes;no;no;3.0-5.0;;1.0-3.0;1.0-3.0;1.0-3.0;;0;8;7;6
GP;M;*;U;LE3;T;4;3;teacher;services;home;*;1;3;0;no;yes;no;yes;yes;yes;yes;no;;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;2;15;16;18
GP;M;*;R;GT3;A;4;4;other;teacher;reputation;*;2;3;0;no;yes;yes;yes;yes;yes;yes;yes;1.0-3.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;;7;15;16;15
GP;F;*;R;GT3;T;3;4;services;health;course;*;1;3;0;yes;yes;no;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;;2;12;12;11
GP;F;*;R;GT3;T;2;2;at_home;other;reputation;*;1;1;0;yes;yes;yes;yes;yes;yes;no;no;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;8;14;13;13
GP;F;*;U;LE3;T;2;2;other;other;home;*;2;2;1;no;yes;yes;yes;no;yes;yes;yes;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;25;7;10;11
GP;M;*;U;LE3;T;4;4;teacher;other;home;*;1;1;0;no;yes;yes;no;no;yes;yes;yes;;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;;8;12;12;12
GP;M;*;U;GT3;T;4;4;services;teacher;course;*;1;2;0;no;yes;no;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;;2;19;18;18
GP;M;*;U;GT3;T;2;2;services;services;course;*;1;1;0;yes;yes;no;no;yes;yes;yes;no;;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;0;8;8;11
GP;F;*;U;LE3;T;2;2;other;at_home;course;*;2;2;1;yes;no;no;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;;14;10;10;9
GP;F;*;U;LE3;A;4;3;other;other;course;*;1;2;0;yes;yes;no;yes;yes;yes;yes;yes;;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;;8;8;8;6
GP;F;*;U;LE3;A;3;3;other;services;home;*;1;2;0;no;yes;no;no;yes;yes;yes;no;1.0-3.0;3.0-5.0;;1.0-3.0;3.0-5.0;3.0-5.0;12;11;12;11
GP;M;*;U;GT3;T;4;3;health;services;reputation;*;1;4;0;no;no;no;yes;yes;yes;yes;no;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;4;19;19;20
GP;M;*;U;GT3;T;4;2;teacher;other;home;*;1;2;0;no;yes;yes;no;yes;yes;no;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;;2;15;15;14
GP;F;*;U;GT3;T;4;4;services;teacher;other;*;1;2;1;yes;yes;yes;yes;no;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;2;7;7;7
GP;F;*;U;LE3;T;2;2;services;services;course;*;3;2;0;no;yes;yes;no;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;3.0-5.0;2;12;13;13
GP;F;*;U;LE3;T;4;2;health;other;other;*;1;2;0;no;yes;yes;no;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;;2;11;13;13
GP;M;*;U;LE3;A;4;2;health;health;other;*;2;1;1;no;no;yes;no;yes;yes;no;no;;;;3.0-5.0;3.0-5.0;;6;11;11;10
GP;F;*;U;GT3;T;4;4;services;services;course;*;1;1;0;yes;yes;no;no;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;;0;8;10;11
GP;F;*;U;LE3;A;3;3;other;other;other;*;1;1;0;no;no;no;no;yes;yes;yes;no;;3.0-5.0;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;6;10;13;13
GP;F;*;U;GT3;A;2;1;other;other;other;*;1;2;0;no;no;yes;yes;yes;yes;yes;yes;;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;8;8;9;10
GP;F;*;U;GT3;A;4;3;services;services;reputation;*;1;2;0;no;yes;yes;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;0;14;15;15
GP;M;*;U;GT3;T;4;4;teacher;health;reputation;*;1;2;0;no;yes;yes;yes;yes;yes;no;no;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;;4;14;15;15
GP;M;*;U;LE3;T;1;2;other;at_home;home;*;1;2;0;yes;yes;no;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;;2;9;10;9
GP;F;*;U;GT3;T;4;2;services;other;course;*;1;2;0;no;yes;yes;no;yes;yes;yes;no;3.0-5.0;1.0-3.0;3.0-5.0;1.0-3.0;1.0-3.0;;2;15;16;16
GP;F;*;R;GT3;T;4;4;health;teacher;other;*;1;2;0;no;yes;yes;yes;yes;yes;no;no;1.0-3.0;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;3.0-5.0;6;10;11;11
GP;F;*;U;GT3;T;1;1;services;services;course;*;4;1;0;yes;yes;yes;yes;no;yes;yes;yes;;;;;;;6;10;8;11
GP;F;*;U;LE3;T;1;2;other;services;reputation;*;1;2;0;yes;no;no;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;4;8;10;9
GP;F;*;U;GT3;T;4;3;teacher;health;home;*;1;3;0;yes;yes;no;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;3.0-5.0;2;10;9;9
GP;F;*;U;LE3;T;4;3;services;services;reputation;*;1;2;0;yes;no;yes;yes;yes;yes;yes;yes;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;1.0-3.0;0;10;10;10
GP;F;*;U;LE3;T;4;3;teacher;services;course;*;3;2;0;no;yes;no;yes;yes;yes;yes;no;;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;2;16;15;15
GP;M;*;U;GT3;A;4;4;other;services;reputation;*;1;4;0;no;yes;no;yes;no;yes;yes;yes;1.0-3.0;3.0-5.0;3.0-5.0;;;3.0-5.0;4;13;13;12
GP;F;*;U;GT3;T;3;1;services;other;course;*;1;4;0;yes;yes;yes;no;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;;4;7;7;6
GP;F;*;R;LE3;T;2;2;health;services;reputation;*;2;2;0;yes;yes;no;no;yes;yes;yes;no;3.0-5.0;1.0-3.0;3.0-5.0;1.0-3.0;3.0-5.0;3.0-5.0;2;8;9;8
GP;F;*;R;LE3;T;3;1;other;other;reputation;*;2;4;0;no;yes;no;no;no;yes;yes;no;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;3.0-5.0;12;16;16;16
GP;M;*;U;GT3;T;3;1;other;other;reputation;*;2;4;0;no;yes;no;no;yes;yes;yes;no;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;;0;13;15;15
GP;M;*;U;GT3;T;4;2;other;other;course;*;1;4;0;no;no;no;no;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;0;10;10;10
GP;F;*;R;GT3;T;1;1;other;other;reputation;*;1;2;2;yes;yes;no;no;no;yes;yes;yes;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;;2;8;6;5
GP;M;*;U;GT3;T;3;1;other;other;reputation;*;1;1;0;no;no;yes;yes;yes;yes;no;no;;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;;2;12;12;14
GP;F;*;U;GT3;T;3;3;other;services;home;*;1;2;0;yes;yes;no;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;;54;11;12;11
GP;M;*;U;GT3;T;4;3;teacher;other;home;*;1;2;0;no;yes;yes;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;;6;9;9;10
GP;M;*;U;GT3;T;4;0;teacher;other;course;*;2;4;0;no;no;yes;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;8;11;11;10
GP;F;*;U;GT3;T;2;2;other;other;reputation;*;1;4;0;no;no;yes;no;yes;yes;yes;yes;;1.0-3.0;3.0-5.0;1.0-3.0;3.0-5.0;3.0-5.0;0;11;11;11
GP;M;*;U;GT3;T;2;1;other;other;home;*;2;1;3;yes;yes;no;yes;yes;no;yes;no;3.0-5.0;;1.0-3.0;1.0-3.0;1.0-3.0;3.0-5.0;2;8;8;10
GP;F;*;U;GT3;T;3;4;at_home;other;course;*;1;2;0;no;yes;no;no;yes;yes;yes;no;1.0-3.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;12;5;5;5
GP;M;*;U;GT3;T;2;3;other;services;course;*;1;1;0;yes;yes;no;yes;no;yes;yes;yes;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;3.0-5.0;3.0-5.0;2;10;12;12
GP;M;*;U;GT3;T;2;3;other;other;home;*;1;3;0;yes;no;no;no;no;yes;yes;no;;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;;4;11;10;11
GP;F;*;U;LE3;T;3;2;services;other;reputation;*;1;2;0;no;yes;yes;no;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;;10;7;6;6
GP;M;*;U;LE3;T;2;2;services;services;home;*;2;2;0;no;no;no;yes;yes;yes;yes;no;;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;3.0-5.0;4;15;15;15
GP;F;*;U;GT3;T;1;1;other;other;home;*;1;2;0;no;yes;no;yes;no;yes;yes;no;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;3.0-5.0;2;9;10;10
GP;F;*;U;GT3;T;4;4;services;services;reputation;*;2;2;2;no;no;yes;no;yes;yes;yes;yes;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;;6;7;9;8
GP;F;*;U;LE3;T;2;2;at_home;other;course;*;1;2;0;no;yes;yes;no;yes;yes;no;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;4;8;7;6
GP;F;*;U;GT3;T;4;2;other;other;reputation;*;1;3;0;no;yes;no;yes;yes;yes;yes;no;;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;1.0-3.0;4;13;14;14
GP;M;*;U;GT3;T;2;2;services;other;reputation;*;2;2;1;no;no;yes;yes;no;yes;yes;no;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;3.0-5.0;12;11;10;10
GP;M;*;U;LE3;A;4;4;teacher;health;reputation;*;1;2;0;no;yes;no;no;yes;yes;no;no;3.0-5.0;1.0-3.0;3.0-5.0;3.0-5.0;;;18;8;6;7
GP;F;*;U;GT3;T;3;3;other;other;home;*;1;3;0;no;yes;yes;no;yes;yes;yes;yes;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;3.0-5.0;0;7;7;8
GP;F;*;U;GT3;T;4;3;services;other;reputation;*;1;1;0;no;no;yes;yes;yes;yes;yes;no;3.0-5.0;;;1.0-3.0;3.0-5.0;1.0-3.0;4;16;17;18
GP;F;*;U;LE3;T;3;1;other;other;home;*;1;2;0;yes;yes;yes;no;yes;yes;no;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;1.0-3.0;4;7;6;6
GP;F;*;U;GT3;T;4;2;teacher;services;home;*;2;2;0;no;yes;no;yes;yes;yes;yes;no;;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;0;11;10;10
GP;M;*;U;LE3;T;2;2;services;health;reputation;*;1;4;0;no;yes;yes;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;6;11;13;14
GP;F;*;R;GT3;T;1;1;at_home;other;home;*;2;4;1;yes;yes;yes;yes;yes;yes;yes;no;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;2;7;10;10
GP;M;*;R;GT3;T;4;3;services;other;reputation;*;2;1;0;yes;yes;no;yes;no;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;2;11;15;15
GP;F;*;U;GT3;T;2;1;other;other;course;*;1;2;0;no;yes;yes;no;yes;yes;no;yes;3.0-5.0;3.0-5.0;;1.0-3.0;1.0-3.0;;2;8;9;10
GP;F;*;U;GT3;T;4;4;other;other;reputation;*;1;1;0;no;no;yes;yes;no;yes;yes;no;;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;6;11;14;14
GP;F;*;U;GT3;T;4;3;other;at_home;course;*;1;3;0;yes;yes;no;no;yes;yes;yes;no;;3.0-5.0;;1.0-3.0;1.0-3.0;3.0-5.0;0;7;9;8
GP;M;*;U;GT3;T;4;4;services;services;other;*;1;1;0;yes;yes;no;yes;yes;yes;yes;no;3.0-5.0;;;;;3.0-5.0;14;7;7;5
GP;M;*;U;GT3;T;4;4;services;teacher;other;*;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;0;16;17;17
GP;M;*;U;GT3;T;4;4;services;other;course;*;1;1;0;no;yes;no;yes;no;yes;yes;no;;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;;4;10;13;14
GP;F;*;U;GT3;T;3;2;services;other;home;*;2;2;0;yes;yes;no;no;yes;yes;yes;no;3.0-5.0;3.0-5.0;;1.0-3.0;1.0-3.0;1.0-3.0;26;7;6;6
GP;M;*;U;GT3;A;3;4;services;other;course;*;1;2;0;no;yes;yes;yes;yes;yes;yes;no;;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;0;16;18;18
GP;F;*;U;GT3;A;3;3;other;health;reputation;*;1;4;0;yes;no;no;no;yes;yes;no;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;10;10;11;11
GP;F;*;U;GT3;T;2;2;other;other;course;*;1;4;0;yes;yes;yes;no;yes;yes;yes;no;;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;3.0-5.0;8;7;8;8
GP;M;*;U;GT3;T;3;3;services;other;home;*;1;3;0;no;yes;yes;yes;yes;yes;yes;no;;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;;2;16;18;18
GP;M;*;R;GT3;T;4;4;other;other;home;*;4;4;0;no;yes;yes;yes;yes;yes;yes;yes;1.0-3.0;3.0-5.0;;3.0-5.0;;1.0-3.0;6;10;13;13
GP;F;*;U;LE3;T;4;4;health;health;other;*;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;;3.0-5.0;;1.0-3.0;1.0-3.0;3.0-5.0;4;14;15;16
GP;M;*;U;LE3;A;4;4;teacher;teacher;course;*;1;1;0;no;no;yes;yes;yes;yes;yes;no;;;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;6;18;19;19
GP;F;*;R;GT3;T;3;3;services;other;reputation;*;1;3;1;yes;yes;no;yes;yes;yes;yes;no;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;0;7;10;10
GP;F;*;U;GT3;T;2;2;at_home;other;home;*;1;2;1;yes;no;no;yes;yes;yes;yes;no;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;;6;10;13;13
GP;M;*;U;LE3;T;4;2;teacher;other;course;*;1;1;0;no;no;no;no;yes;yes;yes;no;3.0-5.0;;1.0-3.0;1.0-3.0;1.0-3.0;3.0-5.0;10;18;19;19
GP;M;*;R;GT3;T;2;1;health;services;reputation;*;1;2;0;no;no;no;yes;yes;yes;yes;yes;;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;;8;9;9;9
GP;M;*;U;GT3;T;4;4;teacher;teacher;course;*;1;2;0;no;yes;no;yes;yes;yes;yes;no;;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;;2;15;15;16
GP;M;*;U;GT3;T;4;4;other;teacher;reputation;*;2;2;0;no;yes;yes;yes;yes;yes;no;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;2;11;13;14
GP;M;*;U;GT3;T;3;3;other;services;home;*;2;1;0;no;no;no;yes;yes;yes;yes;no;;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;;0;13;14;13
GP;M;*;R;GT3;T;1;3;other;other;course;*;3;2;1;no;yes;yes;yes;yes;yes;yes;no;;1.0-3.0;3.0-5.0;1.0-3.0;3.0-5.0;;20;9;7;8
GP;M;*;U;GT3;T;3;4;other;other;reputation;*;1;1;0;no;no;yes;no;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;6;14;13;13
GP;F;*;U;GT3;T;1;2;at_home;services;course;*;1;2;0;no;no;no;no;no;yes;yes;no;3.0-5.0;1.0-3.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;2;16;15;15
GP;M;*;U;GT3;T;2;2;services;services;home;*;1;4;0;no;yes;no;yes;yes;yes;yes;no;;;3.0-5.0;1.0-3.0;1.0-3.0;;6;16;14;15
GP;F;*;U;LE3;T;2;4;other;health;course;*;2;2;0;no;yes;no;yes;yes;yes;yes;yes;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;;2;13;13;13
GP;M;*;U;GT3;T;4;4;health;other;course;*;1;1;0;no;yes;yes;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;3.0-5.0;;18;14;11;13
GP;F;*;U;GT3;T;2;2;other;other;home;*;1;2;0;no;no;yes;no;yes;yes;yes;yes;;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;;0;8;7;8
GP;M;*;U;GT3;T;3;4;services;services;home;*;1;1;0;yes;no;yes;no;yes;yes;yes;no;;;;3.0-5.0;1.0-3.0;;0;13;13;12
GP;F;*;U;LE3;A;3;4;other;other;home;*;1;2;0;yes;no;no;yes;yes;yes;yes;yes;;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;0;7;10;11
GP;F;*;U;GT3;T;0;1;at_home;other;course;*;1;2;3;no;yes;no;no;no;no;no;no;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;;2;7;8;9
GP;M;*;R;GT3;T;2;2;services;other;reputation;*;1;1;2;no;yes;yes;yes;yes;yes;yes;no;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;0;7;4;0
GP;M;*;R;GT3;T;4;4;teacher;teacher;course;*;1;1;0;no;no;no;yes;yes;yes;yes;no;3.0-5.0;;;1.0-3.0;;3.0-5.0;8;18;18;18
GP;F;*;R;GT3;T;3;4;services;teacher;course;*;2;3;2;no;yes;no;no;yes;yes;yes;yes;3.0-5.0;1.0-3.0;1.0-3.0;1.0-3.0;1.0-3.0;;0;12;0;0
GP;F;*;U;GT3;T;1;1;at_home;other;course;*;3;1;0;no;yes;yes;yes;no;yes;yes;yes;3.0-5.0;3.0-5.0;3.0-5.0;1.0-3.0;1.0-3.0;3.0-5.0;0;8;0;0
